CORE,,,,,,,,,,,,,
64,,,,,,,,,,,,,
,,,,,,,,,,,,,
INSTRUCTION,,,,,,,,,,,,,
指令,功能单元,节拍,输入1,输入2,输入3,输出,寄存器和功能单元读所需拍数,寄存器和功能单元写所需拍数,备注,,,,
SMULAU32T,SMAC1/SMAC2,3,R/IMM,R,R,R,1,1,,,,,
SMULAS32T,SMAC1/SMAC2,3,R/IMM,R,R,R,1,1,,,,,
SMULBUS32T,SMAC1/SMAC2,3,R/IMM,R,R,R,1,1,,,,,
SMULBSU32T,SMAC1/SMAC2,3,R/IMM,R,R,R,1,1,,,,,
SMULBS32T,SMAC1/SMAC2,3,R/IMM,R,R,R,1,1,,,,,
SMULBU32T,SMAC1/SMAC2,3,R/IMM,R,R,R,1,1,,,,,
SMOV,SMAC1/SMAC2/SIEU,1,R,,,R,1,1,,,,,
SMOVI,SMAC1/SMAC2/SIEU,1,IMM,,,R,1,1,,,,,
SMVAGA,SMAC1/SMAC2,2,R,,,AR/OR,1,1,,,,,
SMVAAG,SMAC1/SMAC2,2,AR/OR,,,R,1,1,,,,,
SMVAAA,SMAC1/SMAC2,2,AR/OR,,,AR/OR,1,1,,,,,
SVBCAST,SMAC1/SMAC2,4,R,,,VR,1,1,,,,,
SVBCAST2,SMAC1/SMAC2,4,R:2,,,VR:2,1,1,,,,,
SFCMPED,SMAC1/SMAC2,1,R,R,,R,1,1,,,,,
SFCMPES32,SMAC1/SMAC2,1,R,R,,R,1,1,,,,,
SFCMPGD,SMAC1/SMAC2,1,R,R,,R,1,1,,,,,
SFCMPGS32,SMAC1/SMAC2,1,R,R,,R,1,1,,,,,
SFCMPLD,SMAC1/SMAC2,1,R,R,,R,1,1,,,,,
SFCMPLS32,SMAC1/SMAC2,1,R,R,,R,1,1,,,,,
SFDINT,SMAC1/SMAC2,3,R,,,R,1,1,,,,,
SFSINT32,SMAC1/SMAC2,3,R,,,R,1,1,,,,,
SFDTRU,SMAC1/SMAC2,3,R,,,R,1,1,,,,,
SFSTRU32,SMAC1/SMAC2,3,R,,,R,1,1,,,,,
SFINTD,SMAC1/SMAC2,3,R,,,R,1,1,,,,,
SFINTDU,SMAC1/SMAC2,3,R,,,R,1,1,,,,,
SFINTS32,SMAC1/SMAC2,3,R,,,R,1,1,,,,,
SFINTSU32,SMAC1/SMAC2,3,R,,,R,1,1,,,,,
SFDPSP32,SMAC1/SMAC2,3,R,R,,R,1,1,,,,,
SFSPDP32T,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFSPHDP32T,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFMAND,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFMANS32,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFLOGD,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFLOGS32,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFABSD,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFABSS32,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFRSQD,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
