CORE,,,,,,,,,,,,,
64,,,,,,,,,,,,,
,,,,,,,,,,,,,
INSTRUCTION,,,,,,,,,,,,,
指令,功能单元,节拍,输入1,输入2,输入3,输出,寄存器和功能单元读所需拍数,寄存器和功能单元写所需拍数,备注,,,,
VMAC3,7,,,,,,,,,,,,
VIEU,8,,,,,,,,,,,,
VLDST1,9,,,,,,,,,,,,
VLDST2,10,,,,,,,,,,,,
,,,,,,,,,,,,,
R_CTRL,,,,,,,,,,,,,
SVR0,,,,,,,,,,,,,
SVR1,,,,,,,,,,,,,
SVR2,,,,,,,,,,,,,
SVR3,,,,,,,,,,,,,
SVR4,,,,,,,,,,,,,
SVR5,,,,,,,,,,,,,
SVR6,,,,,,,,,,,,,
SVR7,,,,,,,,,,,,,
SVR8,,,,,,,,,,,,,
SVR9,,,,,,,,,,,,,
SVR10,,,,,,,,,,,,,
SVR11,,,,,,,,,,,,,
SVR12,,,,,,,,,,,,,
SVR13,,,,,,,,,,,,,
SVR14,,,,,,,,,,,,,
SVR15,,,,,,,,,,,,,
SST,,,,,,,,,,,,,
SCR,,,,,,,,,,,,,
SFCR1,,,,,,,,,,,,,
SFCR2,,,,,,,,,,,,,
CGCR,,,,,,,,,,,,,
CVCCR,,,,,,,,,,,,,
SECR,,,,,,,,,,,,,
VCR,,,,,,,,,,,,,
VLR,,,,,,,,,,,,,
IER,,,,,,,,,,,,,
IFR,,,,,,,,,,,,,
ICR,,,,,,,,,,,,,
IRR,,,,,,,,,,,,,
ISTP,,,,,,,,,,,,,
EER,,,,,,,,,,,,,
EFR,,,,,,,,,,,,,
ECR,,,,,,,,,,,,,
ERR,,,,,,,,,,,,,
ESTP,,,,,,,,,,,,,
,,,,,,,,,,,,,
VR_CTRL,,,,,,,,,,,,,
SVR,,,,,,,,,,,,,
VST,,,,,,,,,,,,,
VFCR1,,,,,,,,,,,,,
VFCR2,,,,,,,,,,,,,
VFCR3,,,,,,,,,,,,,
VECR,,,,,,,,,,,,,
,,,,,,,,,,,,,
REG_AMOUNT,,,,,,,,,,,,,
R,64,,,,,,,,,,,,
VR,64,,,,,,,,,,,,
SAR,8,,,,,,,,,,,,
VAR,8,,,,,,,,,,,,
SOR,8,,,,,,,,,,,,
VOR,8,,,,,,,,,,,,
R_COND,7,,,,,,,,,,,,
VR_COND,7,,,,,,,,,,,,
,,,,,,,,,,,,,
REG_RES,,,,,,,,,,,,,
R,0,1,2,3,4,5,6,7,8,9,61,62,63
VR,,,,,,,,,,,,,
SAR,8,9,14,15,,,,,,,,,
VAR,7,,,,,,,,,,,,
SOR,15,,,,,,,,,,,,
VOR,7,,,,,,,,,,,,
,,,,,,,,,,,,,
REG_SPEC,,,,,,,,,,,,,
IN,10,24,,,,,,,,,,,
OUT,10,,,,,,,,,,,,
RETURN,63,,,,,,,,,,,,
S_STACK,9,,,,,,,,,,,,
V_STACK,7,,,,,,,,,,,,
