CORE,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
INSTRUCTION,,,,,,,,,,,,,,,,,,
指令,功能单元,节拍,输入1,输入2,输入3,输出,寄存器和功能单元读所需拍数,寄存器和功能单元写所需拍数,备注,,,,,,,,,
SDOTPRUS2,SMAC1/SMAC2,4,R,R,,R,1,1,,,,,,,,,,
SCMUL16T,SMAC1/SMAC2,4,R,R,,R:2,1,2,,,,,,,,,,
SCMULR16T,SMAC1/SMAC2,4,R,R,,R,1,1,,,,,,,,,,
SCMULRI16T,SMAC1/SMAC2,4,R,R,,R,1,1,,,,,,,,,,
SFCMPEH,SMAC1/SMAC2,1,R,R,,R,1,1,,,,,,,,,,
SFCMPES32,SMAC1/SMAC2,1,R,R,,R,1,1,,,,,,,,,,
SFCMPGH,SMAC1/SMAC2,1,R,R,,R,1,1,,,,,,,,,,
SFCMPGS32,SMAC1/SMAC2,1,R,R,,R,1,1,,,,,,,,,,
SFCMPLH,SMAC1/SMAC2,1,R,R,,R,1,1,,,,,,,,,,
SFCMPLS32,SMAC1/SMAC2,1,R,R,,R,1,1,,,,,,,,,,
SFHINT,SMAC1/SMAC2,3,R,,,R,1,1,,,,,,,,,,
SFSINT32,SMAC1/SMAC2,3,R,,,R,1,1,,,,,,,,,,
SFHTRU,SMAC1/SMAC2,3,R,,,R,1,1,,,,,,,,,,
SFSTRU32,SMAC1/SMAC2,3,R,,,R,1,1,,,,,,,,,,
SFINTH,SMAC1/SMAC2,3,R,,,R,1,1,,,,,,,,,,
SFINTHU,SMAC1/SMAC2,3,R,,,R,1,1,,,,,,,,,,
SFINTS32,SMAC1/SMAC2,3,R,,,R,1,1,,,,,,,,,,
SFINTSU32,SMAC1/SMAC2,3,R,,,R,1,1,,,,,,,,,,
SFSPHP,SMAC1/SMAC2,3,R,,,R,1,1,,,,,,,,,,
SFHPSP,SMAC1/SMAC2,1,R,,,R,1,1,,,,,,,,,,
SFHPHSP,SMAC1/SMAC2,1,R,,,R,1,1,,,,,,,,,,
SFEXTH16L,SMAC1/SMAC2,1,R,,,R,1,1,,,,,,,,,,
SFEXTH16H,SMAC1/SMAC2,1,R,,,R,1,1,,,,,,,,,,
SFP16toBF16,SMAC1/SMAC2,1,R,,,R,1,1,,,,,,,,,,
SBF16toFP16,SMAC1/SMAC2,1,R,,,R,1,1,,,,,,,,,,
SFMANH,SMAC1/SMAC2,1,R,,,R,1,1,,,,,,,,,,
SFMANS32,SMAC1/SMAC2,1,R,,,R,1,1,,,,,,,,,,
SFLOGH,SMAC1/SMAC2,1,R,,,R,1,1,,,,,,,,,,
SFLOGS32,SMAC1/SMAC2,1,R,,,R,1,1,,,,,,,,,,
SFABSH,SMAC1/SMAC2,1,R,,,R,1,1,,,,,,,,,,
SFABSS32,SMAC1/SMAC2,1,R,,,R,1,1,,,,,,,,,,
SFRSQH,SMAC1/SMAC2,1,R,,,R,1,1,,,,,,,,,,
SFRSQS32,SMAC1/SMAC2,1,R,,,R,1,1,,,,,,,,,,
SFRCPH,SMAC1/SMAC2,1,R,,,R,1,1,,,,,,,,,,
SFRCPS32,SMAC1/SMAC2,1,R,,,R,1,1,,,,,,,,,,
SFMAXS32,SMAC1/SMAC2,1,R,R,,R,1,1,,,,,,,,,,
SFMAXH,SMAC1/SMAC2,1,R,R,,R,1,1,,,,,,,,,,
